sentence1,sentence2,score
A double decker bus drives on a city street.,A red double decker bus driving down a street.,0.72
Large black and white cat resting on a windowsill.,A small white cat sitting in a sink.,0.36
Boy feeding a sheep.,A boy feeding a sheep hay.,0.84
A girl in a black desktop holds up an open box of Corn Flakes and a carton of milk.,A girl wearing black shorts and boots is standing next to a blue motorcycle.,0.0
a close up of a small cactus in a pot.,a close up of a woman holding a white puppy.,0.16
The white sheep is standing on the green hill.,A sheep stands on a hillside.,0.8
A black and white bird on a body of water with grass in the background.,A bus is on a road with a ferris wheel in the background.,0.0
A wooden bicycle with an awning.,A group of elderly people sitting around a dining table.,0.0
A black and white photo of a dilapidated wooden fence.,A black and white photo of an old wooden fence near a dirty street.,0.9
Two brown horses standing in a green meadow.,A brown horse stands in tall grass.,0.52
Two men wearing bike helmets.,Two men stand with their bicycles outside a shop.,0.32
A man playing a video game in a store.,Man playing game in a store.,0.68
A group of people sitting around a table on a porch.,A group of people sitting around a table with food on it.,0.72
A young girl wearing a bike helmet with a bicycle in the background.,A women holds a small dog on a leash with chairs in the background.,0.0
the back of a stop sign with many stickers on it.,The back of the stop sign is adorned with stickers.,1.0
A bicycle is parked outside a bookstore.,A green bike parked outside a book store.,0.8
a brown double decker tour bus on a street with a ferris wheel behind it.,A double-decker bus driving in front of a ferris wheel.,0.88
A black and white chair sitting in front of a brick wall and a window with a bamboo plant in a vase.,A black headed sheep covered in thick white wool stands in a pasture with other sheep.,0.12
A man in a black uniform on a white horse.,A man in a tux on a white horse.,0.72
Two women stand in a living room with a black dog.,Two women standing in a living room with a black dog looking towards the camera.,0.8
Two people paddling a red canoe are reflected in the still water.,Two people paddling in a red canoe with trees in the background.,0.64
A close-up view of the headlights of a blue old-fashioned car.,Close up of the headlights on a blue car.,0.8
Cars driving near a model building.,Vehicles driving infant of an ornate building.,0.48
A blue and orange airplane flying with its landing gear down.,A red and blue plane flying with its landing gears down.,0.52
A black and white cat lying on a blanket.,A black and white cat sleeps on a purple blanket.,0.8
A building with a temporary sign over the entrance to its parking lot.,Road with the rear image of the tail lights of a bus.,0.04
A group of people sitting around a table containing food.,A group of people sitting around a table on a porch.,0.68
A man and women sitting on a sofa holding a small baby.,a woman sitting on a sofa holding a baby.,0.64
A black and white cat lying on a blanket.,A black and white cat sleeping on its side on a purple blanket.,0.6
A black and white photo of a love seat.,A black and white photo of a bicycle.,0.36
A living room with a dining table in the background.,View of a living room with a dining room in the background.,0.84
A red and gray train is going through a tunnel.,A red and gray train travels through a tunnel amongst the trees.,0.85
Red double decker bus with hood open.,An old Red London double decker bus with its hood raised.,0.84
A man riding a white horse.,A woman leading a white horse.,0.36
View of a living room with a dining room in the background.,A living room with large sofas and a dining table in the background.,0.76
An orange kitten lay on a leather couch.,Young couple sitting on a black couch.,0.16
A person wearing a bike helmet talks on a cell phone.,A person wearing a helmet rides a bike near a white structure.,0.6
A subway train pulling into the station.,A white train pulling into a station.,0.72
A bicycle is parked by a shop.,A green bike parked outside a book store.,0.76
Two men standing on beach.,Two women standing in front of tour bus.,0.0
Long-haired black dog standing in grassy field.,A blue jay standing in a grassy field.,0.28
A small desk with chair near a laundry closet.,A room with tan walls and a washer and dryer.,0.04
Red double decker bus driving through the streets.,Red double decker bus driving down a street.,0.92
A goose flapping its wings in a body of water.,A black swan flapping its wings on the water.,0.6
Boy laying on couch with dog.,The boy is lying on a couch with a puppy.,0.88
A black and white image of a cat laying on a rug.,Black and white picture of a cat laying on a rug.,1.0
A large jet on the ground at the airport.,A large airplane parked at the airport at night.,0.72
Two women are sitting in a cafe.,Two men catching a fish in a swamp.,0.0
Eight bottles of Harp lager lined up on the floor.,Eight bottles of Harp beer lined up on a wooden floor.,0.8
A small child smiling at the camera.,A cat looking at the camera.,0.28
A woman riding a brown horse.,Person dressed in blue riding brown horse.,0.52
photo of a television screen showing a movie.,The wall-mounted flat-screen TV is showing a movie.,0.64
A bird perched on a flowerpot.,Bird perched on a flowerpot beside a stucco wall.,0.84
White cat sitting inside of a sink.,Grey and white cat sitting in bathroom sink.,0.68
Young woman in riding gear on top of horse.,Young girl in riding gear on a horse.,0.88
Two people are sailing a small boat.,Two women in a sailboat.,0.76
A small bird on a tiny branch.,A small bird perched on an icy branch.,0.6
Two animals sitting on a rock.,Two eagles sitting on a long branch.,0.32
Two cats sit on the back of a couch looking out the window.,Two cats are sitting on the back of a couch and looking out the window in a sea photo.,0.84
Two young women shear a sheep.,Two women sheering a sheep.,0.88
The young rider takes a ride on the brown horse.,A young female rider on a brown horse.,0.76
Six people are seated at a restaurant table and looking into the camera.,A group of people sitting at a restaurant table.,0.6
Little white lamb with nose to wood.,A white lamb with its nose against a wooden box.,0.76
A young girl riding a white and grey horse.,a little girl is riding a white and grey horse.,0.92
A black dog stands next to materials at a construction site.,A black dog standing in a room being constructed.,0.64
A bird is flapping its wings in the water.,A black swan flapping its wings on the water.,0.72
A black and white cat lying on a blanket.,A black and white cat laying on a cat bed.,0.75
Young woman in riding gear on top of horse.,The woman is riding on the brown horse.,0.76
A plane being readied for take-off.,A small turboprop plane being loaded on the tarmac.,0.68
A white leather couch with a purse and throw blanket on it.,A television with a show on.,0.0
A kitchen with wooden cabinets and furniture.,Kitchen with wooden table and cabinets.,0.84
The cat is attacking a corn husk broom.,Grey and white cat sitting in bathroom sink.,0.16
A couple holds a baby.,Couple with newborn baby.,0.84
A small bird eating from the feeder.,Bird eating from a bird feeder.,0.85
Close up of a white sheep with a black head.,A close-up of a sheep with a black head.,0.8
A young boy laying on a sofa with a dog.,A small boy laying on a sofa with a dog.,1.0
A red bird is perched in a tree.,A small red and grey bird perched in a tree.,0.64
Two buses parked on a street.,Yellow scooter parked in an alley way.,0.08
A black and white dog looking at the camera.,"A grey, black, and white cat looking at the camera.",0.2
A train is on the railroad tracks.,A train on the train tracks.,0.96
Large silver locomotive engine in a shed.,A close-up of a silver train engine with a red stripe.,0.6
A women sitting at a table drinking with a basketball picture in the background.,A woman in a sari drinks something while sitting at a table.,0.52
